Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eO3_2 tile.czi,3,4917.7,988,old colon
G121eI B2-3 stitch.czi,4,4919.1,649,old caecum
G121eD3_2 tile.czi - Scene #2,3,4921.9,0,old ileum
G121eD3_3 tile.czi,1,4925.5,0,old ileum
G121eO3_2 tile.czi,3,4998.9,1057,old colon
G121eI B2-3 stitch.czi,4,5001.7,610,old caecum
G121eD3_2 tile.czi - Scene #2,3,5003.5,2,old ileum
G121eD3_3 tile.czi,1,5006.1,0,old ileum
G121eO3_2 tile.czi,3,5077,1129,old colon
G121eD3_2 tile.czi - Scene #2,3,5082.1,1,old ileum
G121eI B2-3 stitch.czi,4,5082.5,638,old caecum
G121eD3_3 tile.czi,1,5086.3,0,old ileum
G121eO3_2 tile.czi,3,5159,671,old colon
G121eD3_2 tile.czi - Scene #2,3,5162.7,0,old ileum
G121eI B2-3 stitch.czi,4,5165.1,217,old caecum
G121eD3_3 tile.czi,1,5167.5,0,old ileum
G121eO3_2 tile.czi,3,5241,911,old colon
G121eD3_2 tile.czi - Scene #2,3,5243.4,82,old ileum
G121eD3_3 tile.czi,1,5247.1,0,old ileum
G121eO3_2 tile.czi,3,5319.8,954,old colon
G121eD3_2 tile.czi - Scene #2,3,5321,43,old ileum
G121eD3_3 tile.czi,1,5327.1,0,old ileum
G121eO3_2 tile.czi,3,5400.2,985,old colon
G121eD3_2 tile.czi - Scene #2,3,5400.6,54,old ileum
G121eD3_3 tile.czi,1,5407.4,0,old ileum
G121eO3_2 tile.czi,3,5480.7,304,old colon
G121eD3_2 tile.czi - Scene #2,3,5481.2,13,old ileum
G121eD3_3 tile.czi,1,5488.6,0,old ileum
G121eO3_2 tile.czi,3,5562.7,64,old colon
G121eD3_2 tile.czi - Scene #2,3,5562.8,0,old ileum
G121eD3_3 tile.czi,1,5569.2,0,old ileum
G121eO3_2 tile.czi,3,5641.5,25,old colon
G121eD3_2 tile.czi - Scene #2,3,5644.5,20,old ileum
G121eD3_3 tile.czi,1,5649.4,0,old ileum
G121eO3_2 tile.czi,3,5721.9,448,old colon
G121eD3_2 tile.czi - Scene #2,3,5724.1,137,old ileum
G121eO3_2 tile.czi,3,5801.5,317,old colon
G121eD3_2 tile.czi - Scene #2,3,5807.9,52,old ileum
G121eO3_2 tile.czi,3,5881.9,1119,old colon
G121eD3_2 tile.czi - Scene #2,3,5888.5,176,old ileum
G121eO3_2 tile.czi,3,5963.9,320,old colon
G121eD3_2 tile.czi - Scene #2,3,5968.1,62,old ileum
G121eO3_2 tile.czi,3,6045.2,0,old colon
G121eD3_2 tile.czi - Scene #2,3,6047.7,202,old ileum
G121eD3_2 tile.czi - Scene #2,3,6126.4,1,old ileum
G121eO3_2 tile.czi,3,6126.4,0,old colon
G121eD3_2 tile.czi - Scene #2,3,6207,1,old ileum
G121eO3_2 tile.czi,3,6207.6,0,old colon
G121eO3_2 tile.czi,3,6284.6,0,old colon
G121eD3_2 tile.czi - Scene #2,3,6287.6,131,old ileum
G121eO3_2 tile.czi,3,6366.6,0,old colon
G121eO3_2 tile.czi,3,6448.6,25,old colon
G121eO3_2 tile.czi,3,6529.8,1064,old colon
G121eO3_2 tile.czi,3,6611,784,old colon
G121eO3_2 tile.czi,3,6693.8,830,old colon
G121eO3_2 tile.czi,3,6775.8,1032,old colon
G121eO3_2 tile.czi,3,6854.7,690,old colon
G121eO3_2 tile.czi,3,6938.3,435,old colon
G121eO3_2 tile.czi,3,7017.1,353,old colon
G121eO3_2 tile.czi,3,7099.1,677,old colon
G121eO3_2 tile.czi,3,7183.5,494,old colon
G121eO3_2 tile.czi,3,7264.7,764,old colon
G121eO3_2 tile.czi,3,7345.1,647,old colon
G121eO3_2 tile.czi,3,7429.5,98,old colon
